,sentence_id,words,labels
0,0,campbell,O
1,0,r.,O
2,0,harvey,O
3,0,is,O
4,0,a,O
5,0,professor,O
6,0,of,O
7,0,finance,B-SKILL
8,0,at,O
9,0,duke,O
10,0,university,O
11,0,and,O
12,0,research,B-SKILL
13,0,associate,I-SKILL
14,0,at,O
15,0,the,O
16,0,national,O
17,0,bureau,O
18,0,of,O
19,0,economic,B-SKILL
20,0,research,B-SKILL
21,0,in,O
22,0,cambridge,O
23,0,",",O
24,0,massachusetts,O
25,0,.,O
26,1,he,O
27,1,served,O
28,1,as,O
29,1,editor,O
30,1,of,O
31,1,the,O
32,1,journal,O
33,1,of,O
34,1,finance,B-SKILL
35,1,from,O
36,1,2006,O
37,1,to,O
38,1,2012,O
39,1,and,O
40,1,as,O
41,1,the,O
42,1,2016,O
43,1,president,O
44,1,of,O
45,1,the,O
46,1,american,O
47,1,finance,B-SKILL
48,1,association,O
49,1,.,O
50,2,he,O
51,2,holds,O
52,2,a,O
53,2,ph.d.,O
54,2,in,O
55,2,finance,B-SKILL
56,2,from,O
57,2,the,O
58,2,university,O
59,2,of,O
60,2,chicago,O
61,2,.,O
62,3,professor,O
63,3,harvey,O
64,3,has,O
65,3,served,O
66,3,as,O
67,3,partner,O
68,3,and,O
69,3,senior,O
70,3,advisor,O
71,3,to,O
72,3,research,B-SKILL
73,3,affiliates,O
74,3,",",O
75,3,llc,B-SKILL
76,3,and,O
77,3,investment,O
78,3,strategy,B-SKILL
79,3,advisor,I-SKILL
80,3,to,O
81,3,man,O
82,3,group,O
83,3,contributing,O
84,3,to,O
85,3,both,O
86,3,research,B-SKILL
87,3,and,O
88,3,product,B-SKILL
89,3,design,I-SKILL
90,3,.,O
91,4,professor,O
92,4,harvey,O
93,4,received,O
94,4,the,O
95,4,2016,O
96,4,and,O
97,4,2015,O
98,4,bernstein,O
99,4,fabozzi/jacobs,O
100,4,levy,O
101,4,award,O
102,4,for,O
103,4,the,O
104,4,best,O
105,4,article,O
106,4,from,O
107,4,the,O
108,4,journal,O
109,4,of,O
110,4,portfolio,B-SKILL
111,4,management,I-SKILL
112,4,for,O
113,4,his,O
114,4,research,B-SKILL
115,4,on,O
116,4,differentiating,O
117,4,luck,O
118,4,from,O
119,4,skill,O
120,4,.,O
121,5,he,O
122,5,has,O
123,5,also,O
124,5,received,O
125,5,eight,O
126,5,graham,O
127,5,and,O
128,5,dodd,O
129,5,awards/scrolls,O
130,5,for,O
131,5,excellence,O
132,5,in,O
133,5,financial,O
134,5,writing,B-SKILL
135,5,from,O
136,5,the,O
137,5,cfa,O
138,5,institute,O
139,5,.,O
140,6,he,O
141,6,has,O
142,6,published,O
143,6,over,O
144,6,125,O
145,6,scholarly,O
146,6,articles,O
147,6,on,O
148,6,topics,O
149,6,spanning,O
150,6,investment,O
151,6,finance,B-SKILL
152,6,",",O
153,6,emerging,B-SKILL
154,6,markets,I-SKILL
155,6,",",O
156,6,corporate,B-SKILL
157,6,finance,I-SKILL
158,6,",",O
159,6,behavioral,B-SKILL
160,6,finance,I-SKILL
161,6,",",O
162,6,financial,O
163,6,econometrics,B-SKILL
164,6,and,O
165,6,computer,B-SKILL
166,6,science,B-SKILL
167,6,.,O
168,7,for,O
169,7,the,O
170,7,past,O
171,7,five,O
172,7,years,O
173,7,",",O
174,7,professor,O
175,7,harvey,O
176,7,taught,O
177,7,innovation,O
178,7,and,O
179,7,cryptoventures,B-SKILL
180,7,–,O
181,7,a,O
182,7,course,O
183,7,that,O
184,7,focuses,O
185,7,on,O
186,7,the,O
187,7,mechanics,B-SKILL
188,7,and,O
189,7,applications,O
190,7,of,O
191,7,blockchain,B-SKILL
192,7,technology,O
193,7,.,O
194,8,i,O
195,8,'m,O
196,8,passionate,O
197,8,",",O
198,8,hardworking,O
199,8,and,O
200,8,creative,O
201,8,.,O
202,9,i,O
203,9,'m,O
204,9,young,O
205,9,and,O
206,9,eager,O
207,9,to,O
208,9,learn,O
209,9,.,O
210,10,i,O
211,10,'m,O
212,10,interested,O
213,10,in,O
214,10,digital,B-SKILL
215,10,marketing,B-SKILL
216,10,",",O
217,10,social,B-SKILL
218,10,media,I-SKILL
219,10,management,B-SKILL
220,10,",",O
221,10,event,B-SKILL
222,10,management,I-SKILL
223,10,",",O
224,10,copywriting,B-SKILL
225,10,and,O
226,10,creative,B-SKILL
227,10,writing,I-SKILL
228,10,.,O
229,11,chasing,O
230,11,big,O
231,11,dreams,O
232,11,with,O
233,11,small,O
234,11,steps,O
235,11,.,O
236,12,:,O
237,12,),O
238,12,educateur,O
239,12,chez,O
240,12,social,O
241,12,security,B-SKILL
242,12,administration,B-SKILL
243,12,assistant,O
244,12,manager,O
245,12,at,O
246,12,quatrro,O
247,12,analytics,B-SKILL
248,12,and,O
249,12,management,B-SKILL
250,12,services,O
251,12,pvt,O
252,12,.,O
253,13,ltd,B-SKILL
254,13,attended,O
255,13,national,O
256,13,university,O
257,13,(,O
258,13,ph,O
259,13,),O
