sentences,tokens
sentences 1,Campbell
sentences 1,R.
sentences 1,Harvey
sentences 1,is
sentences 1,a
sentences 1,Professor
sentences 1,of
sentences 1,Finance
sentences 1,at
sentences 1,Duke
sentences 1,University
sentences 1,and
sentences 1,Research
sentences 1,Associate
sentences 1,at
sentences 1,the
sentences 1,National
sentences 1,Bureau
sentences 1,of
sentences 1,Economic
sentences 1,Research
sentences 1,in
sentences 1,Cambridge
sentences 1,","
sentences 1,Massachusetts
sentences 1,.
sentences 2,He
sentences 2,served
sentences 2,as
sentences 2,Editor
sentences 2,of
sentences 2,The
sentences 2,Journal
sentences 2,of
sentences 2,Finance
sentences 2,from
sentences 2,2006
sentences 2,to
sentences 2,2012
sentences 2,and
sentences 2,as
sentences 2,the
sentences 2,2016
sentences 2,President
sentences 2,of
sentences 2,the
sentences 2,American
sentences 2,Finance
sentences 2,Association
sentences 2,.
sentences 3,He
sentences 3,holds
sentences 3,a
sentences 3,Ph.D.
sentences 3,in
sentences 3,Finance
sentences 3,from
sentences 3,the
sentences 3,University
sentences 3,of
sentences 3,Chicago
sentences 3,.
sentences 4,Professor
sentences 4,Harvey
sentences 4,has
sentences 4,served
sentences 4,as
sentences 4,Partner
sentences 4,and
sentences 4,Senior
sentences 4,Advisor
sentences 4,to
sentences 4,Research
sentences 4,Affiliates
sentences 4,","
sentences 4,LLC
sentences 4,and
sentences 4,Investment
sentences 4,Strategy
sentences 4,Advisor
sentences 4,to
sentences 4,Man
sentences 4,Group
sentences 4,contributing
sentences 4,to
sentences 4,both
sentences 4,research
sentences 4,and
sentences 4,product
sentences 4,design
sentences 4,.
sentences 5,Professor
sentences 5,Harvey
sentences 5,received
sentences 5,the
sentences 5,2016
sentences 5,and
sentences 5,2015
sentences 5,Bernstein
sentences 5,Fabozzi/Jacobs
sentences 5,Levy
sentences 5,Award
sentences 5,for
sentences 5,the
sentences 5,Best
sentences 5,Article
sentences 5,from
sentences 5,the
sentences 5,Journal
sentences 5,of
sentences 5,Portfolio
sentences 5,Management
sentences 5,for
sentences 5,his
sentences 5,research
sentences 5,on
sentences 5,differentiating
sentences 5,luck
sentences 5,from
sentences 5,skill
sentences 5,.
sentences 6,He
sentences 6,has
sentences 6,also
sentences 6,received
sentences 6,eight
sentences 6,Graham
sentences 6,and
sentences 6,Dodd
sentences 6,Awards/Scrolls
sentences 6,for
sentences 6,excellence
sentences 6,in
sentences 6,financial
sentences 6,writing
sentences 6,from
sentences 6,the
sentences 6,CFA
sentences 6,Institute
sentences 6,.
sentences 7,He
sentences 7,has
sentences 7,published
sentences 7,over
sentences 7,125
sentences 7,scholarly
sentences 7,articles
sentences 7,on
sentences 7,topics
sentences 7,spanning
sentences 7,investment
sentences 7,finance
sentences 7,","
sentences 7,emerging
sentences 7,markets
sentences 7,","
sentences 7,corporate
sentences 7,finance
sentences 7,","
sentences 7,behavioral
sentences 7,finance
sentences 7,","
sentences 7,financial
sentences 7,econometrics
sentences 7,and
sentences 7,computer
sentences 7,science
sentences 7,.
sentences 8,For
sentences 8,the
sentences 8,past
sentences 8,five
sentences 8,years
sentences 8,","
sentences 8,Professor
sentences 8,Harvey
sentences 8,taught
sentences 8,Innovation
sentences 8,and
sentences 8,Cryptoventures
sentences 8,–
sentences 8,a
sentences 8,course
sentences 8,that
sentences 8,focuses
sentences 8,on
sentences 8,the
sentences 8,mechanics
sentences 8,and
sentences 8,applications
sentences 8,of
sentences 8,blockchain
sentences 8,technology
sentences 8,.
